GeneID	GGACP	GGACS	GGACT	GGACU	GGAXP	GGAXS	GGAXT	GGAXU	GGAXW	GGAXX	GGAXY	GGAXZ
gene_5087	0	0	0	3	2	2	1	4	5	3	1	5
gene_5088	0	0	0	0	0	0	0	0	0	0	0	0
gene_5089	0	0	0	16	24	8	3	10	25	8	8	9
gene_509	0	0	0	8	5	5	1	5	15	3	7	12
gene_5090	0	0	0	3	9	5	1	1	4	4	5	7
gene_5091	0	0	0	0	0	0	0	0	0	0	0	0
gene_5092	0	0	0	71	46	27	16	22	45	27	21	55
gene_5093	0	0	0	1	1	3	0	1	0	0	0	0
gene_5094	0	0	0	0	0	0	0	0	0	0	0	0
gene_5095	0	0	0	3	1	2	4	5	7	8	2	7
gene_5096	0	0	0	200	123	50	24	69	106	38	42	117
gene_5097	0	0	0	4	3	2	0	7	6	3	3	3
gene_5098	0	0	0	4	0	0	0	2	4	1	0	0
gene_5099	0	0	0	0	0	0	0	0	0	0	0	0
gene_51	0	0	0	4	0	0	0	2	0	1	2	1
gene_510	0	0	0	7	3	2	1	1	0	1	0	2
gene_5100	0	0	0	0	0	0	0	0	0	0	0	0
gene_5101	0	0	0	22	8	12	8	8	25	13	16	10
gene_5102	0	0	0	0	0	0	0	0	0	0	0	0
gene_5103	0	0	0	83	61	34	12	43	108	30	47	51
gene_5104	0	0	0	0	0	0	0	0	0	0	0	0
gene_5105	0	0	0	6	10	16	2	3	15	6	2	5
gene_5106	0	0	0	43	36	19	7	9	21	5	10	31
gene_5107	0	0	0	20	16	13	6	5	13	3	8	11
gene_5108	0	0	0	18	15	6	2	1	19	9	6	8
gene_5109	0	0	0	182	99	64	41	84	87	82	57	115
gene_511	0	0	0	3	4	6	0	2	3	2	0	7
gene_5110	0	0	0	8	4	5	6	2	3	4	1	4
gene_5111	0	0	0	23	11	8	5	12	12	5	7	9
gene_5112	0	0	0	52	14	29	21	47	37	28	45	61
gene_5113	0	0	0	12	8	5	9	3	7	7	5	5
gene_5114	0	0	0	16	6	5	3	4	8	9	3	14
gene_5115	0	0	0	29	21	17	0	9	20	7	5	23
gene_5116	0	0	0	9	6	3	5	6	7	4	4	2
gene_5117	0	0	0	195	96	52	37	23	81	28	18	51
gene_5118	0	0	0	0	0	0	0	1	1	0	0	2
gene_5119	0	0	0	0	0	0	0	0	0	0	0	0
gene_512	0	0	0	15	13	5	3	12	22	7	3	7
gene_5120	0	0	0	0	0	0	0	0	0	0	0	0
gene_5121	0	0	0	58	22	15	11	6	13	16	18	25
gene_5122	0	0	0	20	4	1	2	8	11	0	7	5
gene_5123	0	0	0	18	7	3	6	2	3	6	2	2
gene_5124	0	0	0	634	367	266	27	33	101	19	17	28
gene_5125	0	0	0	3	0	1	0	0	0	0	0	0
gene_5126	0	0	0	5	3	6	1	8	2	4	2	3
gene_5127	0	0	0	1	5	1	0	4	5	0	1	5
gene_5128	0	0	0	8	6	3	13	8	12	5	13	22
gene_5129	0	0	0	14	17	6	6	4	7	4	7	7
gene_513	0	0	0	42	30	11	23	34	52	19	21	37
gene_5130	0	0	0	14	3	5	1	4	2	2	1	1
gene_5131	0	0	0	81	38	35	14	18	53	26	18	31
gene_5132	0	0	0	1	0	0	0	3	0	0	0	2
gene_5133	0	0	0	10	15	10	4	10	23	13	8	17
gene_5134	0	0	0	32	5	5	17	4	85	36	22	72
gene_5135	0	0	0	1	0	0	0	0	0	0	1	1
gene_5136	0	0	0	0	0	0	0	0	0	0	0	0
gene_5137	0	0	0	22	13	8	7	6	38	7	7	7
gene_5138	0	0	0	0	2	0	1	6	7	1	5	5
gene_5139	0	0	0	1	0	0	0	3	2	2	0	1
gene_514	0	0	0	1	3	2	0	3	3	1	1	2
gene_5140	0	0	0	1	1	0	0	1	5	0	1	0
gene_5141	0	0	0	5	7	6	0	1	2	0	2	4
gene_5142	0	0	0	1	0	0	0	0	1	0	0	2
gene_5143	0	0	0	2	5	6	0	4	14	3	3	2
gene_5144	0	0	0	0	0	0	0	0	0	0	0	0
gene_5145	0	0	0	21	18	13	4	5	23	4	6	10
gene_5146	0	0	0	7	3	2	1	0	8	0	1	2
gene_5147	0	0	0	27	7	11	4	9	24	7	7	25
gene_5148	0	0	0	1	1	0	0	0	0	0	0	0
gene_5149	0	0	0	98	137	40	36	77	82	37	60	80
gene_515	0	0	0	14	4	4	1	0	7	3	13	7
gene_5150	0	0	0	29	26	12	4	6	17	19	5	14
gene_5151	0	0	0	77	38	16	15	26	49	30	31	43
gene_5152	0	0	0	1	0	0	0	0	0	1	1	0
gene_5153	0	0	0	0	0	0	0	0	0	0	0	0
gene_5154	0	0	0	25	14	17	5	10	19	13	9	15
gene_5155	0	0	0	0	0	0	0	0	0	0	0	0
gene_5156	0	0	0	0	0	0	0	0	0	0	0	0
gene_5157	0	0	0	0	0	3	1	3	27	4	3	3
gene_5158	0	0	0	52	27	16	4	15	33	18	9	17
gene_5159	0	0	0	78	29	27	16	35	41	25	31	54
