GeneID	GCWZC	GCWZG	GCWZH	GCWZN	GCWZO	GCWZP	GCWZS	GCWZT	GCWZU	GCWZW	GCWZX
gene_5921	0	0	0	1	2	0	0	1	2	3	2
gene_5922	0	0	0	3	6	0	1	3	0	0	1
gene_5923	0	0	0	110	69	34	26	40	46	19	98
gene_5924	0	0	0	1	0	0	0	0	0	0	0
gene_5925	0	0	0	0	1	0	0	1	0	1	4
gene_5926	0	0	0	4	2	0	0	0	0	0	1
gene_5927	0	0	0	0	0	0	0	0	0	0	0
gene_5928	0	0	0	1	1	1	0	0	0	0	0
gene_5929	0	0	0	67	13	30	22	29	23	13	53
gene_593	0	0	0	18	16	10	8	12	14	8	19
gene_5930	0	0	0	1	1	1	5	4	1	0	8
gene_5931	0	0	0	1	1	0	0	0	0	0	0
gene_5932	0	0	0	28	27	8	6	6	9	1	21
gene_5933	1	0	0	134	90	158	145	155	170	95	326
gene_5934	0	0	0	50	49	12	17	14	28	5	37
gene_5935	0	0	0	35	27	21	8	11	13	8	18
gene_5936	0	0	0	20	19	0	3	3	6	2	9
gene_5937	0	0	0	56	42	30	22	21	37	18	62
gene_5938	0	0	0	28	76	27	58	51	76	104	252
gene_5939	0	0	0	59	32	17	16	15	10	8	47
gene_594	0	0	0	4	3	1	4	2	2	1	3
gene_5940	0	0	0	0	0	0	0	0	0	0	0
gene_5941	0	0	0	21	8	7	3	5	2	2	20
gene_5942	0	0	0	11	3	7	5	5	13	6	16
gene_5943	0	0	0	28	24	19	14	18	21	16	43
gene_5944	0	0	0	36	35	8	6	7	13	1	18
gene_5945	0	0	0	35	30	24	26	25	51	27	101
gene_5946	0	0	0	0	0	0	0	0	0	0	0
gene_5947	0	0	0	0	0	0	0	0	0	0	0
gene_5948	0	0	0	0	0	0	0	0	0	0	0
gene_5949	0	0	0	33	34	3	9	7	7	3	17
gene_595	0	0	0	81	71	24	19	29	26	13	58
gene_5950	0	0	0	107	87	24	21	35	39	29	67
gene_5951	0	0	0	26	19	8	2	9	10	8	17
gene_5952	0	0	0	15	20	4	7	10	9	4	25
gene_5953	0	0	0	0	0	0	0	0	0	0	0
gene_5954	0	0	0	119	68	79	77	55	247	184	172
gene_5955	0	0	0	177	110	72	60	68	128	62	179
gene_5956	0	0	0	0	1	0	0	1	1	0	0
gene_5957	0	0	0	0	0	0	0	0	0	0	0
gene_5958	0	0	0	21	12	18	14	13	17	21	53
gene_5959	0	0	0	3	1	2	4	4	3	2	7
gene_596	0	0	0	9	7	4	2	2	7	1	7
gene_5960	0	0	0	1	0	1	1	0	3	0	0
gene_5961	0	0	0	21	21	8	5	7	10	8	24
gene_5962	0	0	0	31	23	8	7	3	9	4	18
gene_5963	0	0	0	22	19	5	1	7	6	0	12
gene_5964	0	0	0	1	1	1	0	1	9	9	0
gene_5965	0	0	0	14	20	4	5	9	4	2	13
gene_5966	0	0	0	141	69	54	23	33	50	29	102
gene_5967	0	0	0	7	12	0	1	3	6	2	3
gene_5968	0	0	0	93	84	30	22	42	59	30	97
gene_5969	0	0	0	7	5	1	2	1	5	2	1
gene_597	0	0	0	2	1	0	0	0	2	0	2
gene_5970	0	0	0	0	0	0	0	0	0	1	0
gene_5971	0	0	0	19	5	12	5	4	2	2	16
gene_5972	0	0	0	16	19	42	5	13	56	10	47
gene_5973	0	0	0	36	22	15	10	27	16	2	30
gene_5974	0	0	0	24	16	3	4	4	11	2	6
gene_5975	0	0	0	105	65	41	23	49	64	22	114
gene_5976	0	0	0	50	49	27	23	21	41	16	64
gene_5977	0	0	0	9	13	6	2	8	9	3	16
gene_5978	0	0	0	38	32	9	10	9	17	5	20
gene_5979	0	0	0	24	19	4	1	2	3	0	5
gene_598	0	0	0	44	27	23	12	29	55	13	48
gene_5980	0	0	0	1	5	2	1	0	1	0	1
gene_5981	0	0	0	0	0	0	0	0	0	0	0
gene_5982	0	0	0	15	19	3	3	7	7	2	11
gene_5983	0	0	0	35	20	9	6	21	11	10	15
gene_5984	0	0	0	5	4	1	3	1	4	0	3
gene_5985	0	0	0	29	22	13	9	5	19	12	30
gene_5986	0	0	0	121	83	14	12	26	20	16	27
gene_5987	0	0	0	11	11	2	2	7	7	0	6
gene_5988	0	0	0	1	0	0	0	0	0	0	0
gene_5989	0	0	0	20	13	3	1	5	1	3	4
gene_599	0	0	0	0	0	0	0	0	0	0	0
gene_5990	0	0	0	4	9	1	0	2	3	0	0
gene_5991	0	0	0	42	41	17	16	17	23	11	47
gene_5992	0	0	0	4	5	4	5	6	1	1	13
gene_5993	0	0	0	0	0	0	0	1	0	1	0
gene_5994	0	0	0	48	28	23	13	17	25	8	37
gene_5995	0	0	0	11	6	9	5	3	18	14	14
gene_5996	0	0	0	163	75	49	37	48	78	27	128
gene_5997	0	0	0	2	1	3	0	4	1	0	0
gene_5998	0	0	0	0	0	0	1	0	0	2	0
gene_5999	0	0	0	1	2	3	3	4	2	1	5
gene_6	0	0	0	59	45	16	11	16	23	14	29
