GeneID	GGABY	GCYUU	GCYUW	GCYUX	GCYUY	GCYUZ	GCYWA	GCYWB	GCYWC	GCYWG	GCUXP
gene_8306	0	0	2	5	3	3	11	14	2	2	3
gene_8307	0	0	14	18	17	31	34	34	17	4	22
gene_8308	0	0	1	0	8	7	2	4	3	0	2
gene_8309	0	0	4	4	5	2	7	0	7	0	5
gene_831	0	0	39	53	132	121	131	154	64	30	92
gene_8310	0	0	0	0	0	0	0	0	0	0	0
gene_8311	0	0	10	17	26	19	21	32	9	5	14
gene_8312	0	0	14	7	13	16	14	20	8	2	3
gene_8313	0	0	0	0	0	0	0	0	0	0	0
gene_8314	0	0	0	1	4	2	0	2	0	0	0
gene_8315	0	0	5	8	13	8	3	8	2	0	2
gene_8316	0	0	0	0	0	0	0	0	0	0	0
gene_8317	0	0	3	6	18	5	8	11	0	2	3
gene_8318	0	0	10	29	18	19	25	55	17	13	41
gene_8319	0	0	129	143	249	504	314	546	184	69	250
gene_832	0	0	48	82	127	84	93	124	48	21	129
gene_8320	0	0	0	0	0	0	0	0	0	0	0
gene_8321	0	0	18	29	39	56	43	51	16	6	24
gene_8322	0	0	17	21	44	24	33	37	23	8	33
gene_8323	0	0	173	314	653	186	385	628	150	57	208
gene_8324	0	0	0	0	0	0	0	0	0	0	0
gene_8325	0	0	4	6	8	47	14	24	18	5	23
gene_8326	0	0	0	1	0	1	1	2	0	0	1
gene_8327	0	0	11	4	23	14	7	13	6	2	9
gene_8328	0	0	3	4	3	8	12	10	5	2	5
gene_8329	0	0	3	2	4	4	7	11	1	3	13
gene_833	0	0	27	45	69	19	18	26	13	8	23
gene_8330	0	0	22	21	61	39	40	50	16	8	40
gene_8331	0	0	0	0	0	0	0	1	0	0	1
gene_8332	0	0	2	1	12	21	12	10	6	5	14
gene_8333	0	0	3	4	14	11	12	15	5	3	11
gene_8334	0	0	6	10	18	4	27	40	10	5	8
gene_8335	0	0	3	4	3	5	2	2	0	1	3
gene_8336	0	0	1	2	5	6	1	8	3	0	7
gene_8337	0	0	14	17	30	39	41	43	22	7	32
gene_8338	0	0	137	165	314	158	206	294	120	25	172
gene_8339	0	0	2	7	11	3	8	3	1	0	1
gene_834	0	0	1	3	9	1	1	0	0	0	0
gene_8340	0	0	6	14	14	20	12	41	16	4	16
gene_8341	0	0	0	1	1	0	0	1	0	0	0
gene_8342	0	0	10	17	33	19	36	40	17	4	34
gene_8343	0	0	0	0	0	0	0	0	0	0	1
gene_8344	0	0	21	24	36	29	41	29	13	5	30
gene_8345	0	0	3	0	1	1	2	0	0	0	0
gene_8346	0	0	3	2	11	1	1	4	0	0	1
gene_8347	0	0	0	0	0	0	0	0	0	0	0
gene_8348	0	0	0	0	0	0	0	0	0	0	0
gene_8349	0	0	0	3	4	0	2	2	1	0	1
gene_835	0	0	83	190	295	319	258	289	141	88	264
gene_8350	0	0	0	0	0	0	0	0	0	0	0
gene_8351	0	0	25	26	55	34	35	32	13	8	32
gene_8352	0	0	0	0	0	0	0	0	0	0	0
