GeneID	GGAYX	GGAYY	GGAYZ	GGAZA	GGAZB	GGAZC	GGAZG	GGAZH	GGAZN	GGAZO
gene_2729	0	0	29	24	20	49	14	8	23	21
gene_273	0	0	8	10	10	17	4	5	8	7
gene_2730	0	0	48	42	44	95	27	13	51	37
gene_2731	0	0	0	1	0	0	0	0	0	0
gene_2732	0	0	0	0	0	0	0	0	0	0
gene_2733	0	0	0	0	0	0	0	0	0	0
gene_2734	0	0	42	29	46	120	37	22	50	39
gene_2735	0	0	4	10	3	11	2	1	3	5
gene_2736	0	0	0	0	0	0	0	0	0	0
gene_2737	0	0	28	28	8	20	8	0	6	1
gene_2738	0	0	2	1	1	1	4	0	3	13
gene_2739	0	0	912	1077	610	1372	882	327	833	1074
gene_274	0	0	1	0	2	5	4	1	1	2
gene_2740	0	0	11	6	6	13	3	4	4	1
gene_2741	0	0	4	9	5	15	12	4	15	5
gene_2742	0	0	20	16	6	13	15	6	12	8
