GeneID	GGAYA	GGAYB	GGAYC	GGAYG	GGAYH	GGAYS	GGAYT	GGAYU	GGAYW	GGAYN	GGAYO	GGAYP
gene_10078	0	0	0	9	17	5	4	7	9	7	12	6
gene_10079	0	0	0	5	7	6	3	4	2	3	8	7
gene_1008	0	0	0	1	0	0	0	0	0	0	0	0
gene_10080	0	0	0	0	0	0	0	0	0	1	0	0
gene_10081	0	0	0	4	8	3	0	5	1	2	4	8
gene_10082	0	0	0	21	24	17	23	50	68	15	27	42
gene_10083	0	0	0	36	57	37	44	49	37	41	56	88
gene_10084	0	0	0	0	0	0	0	0	0	0	0	0
gene_10085	0	0	0	0	3	1	0	0	1	0	1	0
gene_10086	0	0	0	0	1	1	0	0	0	0	0	0
gene_10087	0	0	0	0	0	0	0	0	0	0	0	0
gene_10088	0	0	0	0	0	0	0	0	0	0	0	0
gene_10089	0	0	0	0	2	5	0	0	2	1	5	8
gene_1009	0	0	0	0	1	0	0	0	0	0	1	0
gene_10090	0	0	0	23	32	24	30	29	18	24	37	50
gene_10091	0	0	0	89	106	75	117	166	117	98	127	201
gene_10092	0	0	0	17	20	13	12	11	7	6	7	21
gene_10093	0	0	0	22	41	28	47	30	26	36	63	54
gene_10094	0	0	0	44	66	24	19	22	16	14	17	34
gene_10095	0	0	0	16	12	11	5	7	8	2	10	4
gene_10096	0	0	0	10	7	6	2	8	2	0	12	8
gene_10097	0	0	0	6	7	10	8	4	3	1	7	7
gene_10098	0	0	0	0	0	0	0	0	0	0	0	0
gene_10099	0	0	0	0	0	0	0	1	0	0	0	0
gene_101	0	0	0	0	0	4	2	4	1	1	3	7
gene_1010	0	0	0	26	34	23	22	42	28	24	48	60
gene_10100	0	0	0	3	4	1	4	4	0	1	4	7
gene_10101	0	0	0	0	0	0	0	0	0	0	0	0
gene_10102	0	0	0	0	0	0	0	0	0	0	0	0
gene_10103	0	0	0	0	0	0	0	2	1	0	0	1
gene_10104	0	0	0	0	0	0	0	0	0	0	0	0
gene_10105	0	0	0	1	0	0	1	1	2	1	2	0
gene_10106	0	0	0	0	0	0	0	0	0	0	1	0
gene_10107	0	0	0	22	21	14	23	21	19	23	31	55
gene_10108	0	0	0	0	0	0	0	0	0	0	0	0
gene_10109	0	0	0	0	0	1	2	1	0	0	1	2
gene_1011	0	0	0	0	0	0	0	0	0	0	0	0
gene_10110	0	0	0	1	5	2	0	0	2	1	2	5
gene_10111	0	0	0	1	0	2	1	0	0	0	1	2
gene_10112	0	0	0	8	13	10	5	6	3	4	10	15
gene_10113	0	0	0	5	6	3	7	5	4	2	8	6
gene_10114	0	0	0	0	0	0	0	0	0	0	0	0
gene_10115	0	0	0	0	2	1	1	0	2	0	2	2
gene_10116	0	0	0	10	5	3	1	5	5	5	6	5
gene_10117	0	0	0	3	3	0	1	4	1	1	2	4
gene_10118	0	0	0	15	16	11	7	6	10	8	15	19
gene_10119	0	0	0	54	28	27	14	18	26	23	23	36
gene_1012	0	0	0	50	100	47	27	59	38	44	43	73
gene_10120	0	0	0	1	1	0	0	2	3	2	2	1
gene_10121	0	0	0	0	7	3	5	3	2	3	4	0
gene_10122	0	0	0	172	253	115	52	65	77	41	63	97
gene_10123	0	0	0	12	9	7	6	19	7	20	18	24
gene_10124	0	0	0	7	4	3	1	7	0	3	4	5
gene_10125	0	0	0	40	55	29	55	84	37	45	75	104
gene_10126	0	0	0	23	31	12	9	5	8	11	28	31
gene_10127	0	0	0	0	0	0	0	0	0	0	0	0
gene_10128	0	0	0	10	17	7	25	67	23	28	67	57
gene_10129	0	0	0	0	1	3	1	1	0	1	0	7
gene_1013	0	0	0	18	18	8	7	5	9	3	13	15
gene_10130	0	0	0	0	0	0	0	0	0	0	0	0
gene_10131	0	0	0	65	78	64	45	85	59	39	49	114
gene_10132	0	0	0	25	10	15	19	23	13	34	50	52
gene_10133	0	0	0	41	43	23	16	43	6	71	79	96
gene_10134	0	0	0	2	5	2	5	19	2	5	7	19
gene_10135	0	0	0	0	4	2	2	2	5	2	9	4
gene_10136	0	0	0	0	3	1	3	5	3	1	6	6
gene_10137	0	0	0	22	7	4	5	20	8	9	12	18
gene_10138	0	0	0	47	78	52	49	76	51	48	72	136
gene_10139	0	0	0	32	48	21	9	22	18	15	24	27
gene_1014	0	0	0	15	17	14	20	21	13	26	32	27
gene_10140	0	0	0	4	9	7	6	13	4	4	9	11
gene_10141	0	0	0	1	3	1	2	7	1	2	1	4
gene_10142	0	0	0	24	47	13	21	26	23	19	46	49
gene_10143	0	0	0	10	6	11	5	11	4	3	13	8
gene_10144	0	0	0	7	10	9	2	5	7	4	2	9
gene_10145	0	0	0	3	2	1	4	3	1	0	1	2
gene_10146	0	0	0	1	0	4	0	1	0	1	1	3
gene_10147	0	0	0	8	15	4	11	12	4	5	8	17
gene_10148	0	0	0	0	0	0	0	2	0	1	0	0
gene_10149	0	0	0	3	3	5	0	0	0	0	0	2
gene_1015	0	0	0	34	36	19	15	31	11	14	20	42
gene_10150	0	0	0	13	19	5	6	10	13	4	18	19
gene_10151	0	0	0	23	12	22	21	11	9	16	31	27
gene_10152	0	0	0	3	2	4	9	19	13	5	6	3
gene_10153	0	0	0	51	184	49	2	10	19	5	9	9
gene_10154	0	0	0	0	1	0	0	1	0	0	0	0
gene_10155	0	0	0	7	23	20	5	6	10	5	12	17
gene_10156	0	0	0	8	9	8	9	11	3	3	8	11
gene_10157	0	0	0	10	20	5	5	7	8	2	15	9
gene_10158	0	0	0	7	11	4	2	13	6	2	7	10
gene_10159	0	0	0	2	2	1	1	1	1	1	2	3
gene_1016	0	0	0	20	26	11	13	13	14	15	9	20
gene_10160	0	0	0	1	0	0	1	0	1	0	0	2
gene_10161	0	0	0	0	1	2	1	0	0	0	2	0
gene_10162	0	0	0	9	12	14	11	18	8	14	12	16
gene_10163	0	0	0	1	2	2	0	3	0	2	0	1
gene_10164	0	0	0	6	15	2	2	4	7	0	9	7
gene_10165	0	0	0	0	0	0	2	1	0	0	0	0
gene_10166	0	0	0	0	3	0	3	6	2	2	4	3
gene_10167	0	1	0	10	9	11	13	22	11	12	29	41
gene_10168	0	0	0	6	10	9	9	9	13	22	37	46
gene_10169	0	0	0	0	0	0	0	0	0	0	0	0
gene_1017	0	0	0	25	30	13	7	19	14	14	30	16
gene_10170	0	0	0	1	0	1	2	1	4	0	11	2
gene_10171	0	0	0	7	17	21	21	23	12	19	23	36
gene_10172	0	0	0	1	0	0	0	1	0	0	0	1
gene_10173	0	0	0	3	0	1	0	3	0	1	0	1
gene_10174	0	0	0	0	0	0	0	0	0	0	0	0
gene_10175	0	0	0	2	6	2	1	1	5	1	0	4
gene_10176	0	0	0	0	0	0	0	0	0	0	0	0
gene_10177	0	0	0	0	0	0	0	0	0	0	0	0
gene_10178	0	0	0	0	0	0	0	0	0	0	0	0
gene_10179	0	0	0	0	0	0	0	0	0	0	0	0
gene_1018	0	0	0	5	1	4	4	11	3	7	10	16
gene_10180	0	0	0	0	0	0	0	0	0	0	0	0
gene_10181	0	0	0	0	0	0	0	0	0	0	0	0
gene_10182	0	0	0	0	0	0	0	0	0	0	0	0
gene_10183	0	0	0	0	0	0	0	0	0	0	0	0
gene_10184	0	0	0	10	17	6	8	7	14	7	7	19
gene_10185	0	0	0	0	0	0	0	0	0	0	0	0
gene_10186	0	0	0	0	0	0	0	0	0	0	0	0
gene_10187	0	0	0	7	28	1	3	6	4	14	13	21
gene_10188	0	0	0	0	0	0	0	0	0	0	0	0
gene_10189	0	0	0	0	0	0	0	0	0	0	0	0
gene_1019	0	0	0	10	7	14	3	11	4	4	11	18
gene_10190	0	0	0	0	0	0	0	0	0	0	0	0
gene_10191	0	0	0	0	0	0	0	0	0	0	0	0
gene_10192	0	0	0	0	0	0	0	0	0	0	0	0
gene_10193	0	0	0	0	0	0	0	0	0	0	0	0
gene_10194	0	0	0	0	1	0	0	0	0	0	0	0
gene_10195	0	0	0	0	0	0	0	0	0	0	0	0
gene_10196	0	0	0	0	0	0	0	0	0	0	0	0
gene_10197	0	0	0	0	0	0	0	0	0	0	0	0
gene_10198	0	0	0	0	0	0	0	0	0	0	0	0
gene_10199	0	0	0	0	0	0	0	0	0	0	0	0
