GeneID	GCWZY	GCWZZ	GCXAA	GCXAB	GCXAC	GCXAG	GCXAH	GCXAN	GCXAO	GCXAP	GCXAS	GCXAT
gene_2599	0	0	0	19	14	22	8	22	10	11	5	12
gene_26	0	0	0	11	16	9	1	13	2	4	1	2
gene_260	0	0	0	9	7	4	3	3	1	0	2	3
gene_2600	0	0	0	15	12	12	10	21	6	10	5	9
gene_2601	0	0	0	38	31	25	19	45	26	17	8	13
gene_2602	1	0	0	51	71	65	25	46	16	26	21	44
gene_2603	0	0	0	0	0	0	0	0	0	0	0	0
gene_2604	0	0	0	0	0	0	0	0	0	0	0	0
gene_2605	0	0	0	227	285	301	459	680	299	372	419	445
gene_2606	0	0	0	9	9	14	8	11	16	9	7	3
gene_2607	0	0	0	16	28	28	4	5	10	3	5	7
gene_2608	0	0	0	6	8	17	3	6	0	2	1	2
gene_2609	0	0	0	0	0	0	0	0	0	0	0	0
gene_261	0	0	0	5	1	2	1	3	0	1	0	0
gene_2610	0	0	0	20	20	25	14	25	8	16	5	17
gene_2611	0	0	0	3	7	4	2	4	5	2	1	4
gene_2612	0	0	0	2	1	8	1	0	0	0	0	1
gene_2613	0	0	0	0	1	0	0	1	1	0	0	1
gene_2614	0	0	0	30	25	58	21	34	24	6	18	31
gene_2615	0	0	0	29	29	22	9	36	26	13	13	20
gene_2616	0	0	0	27	48	41	37	37	31	13	17	22
gene_2617	0	0	0	12	14	14	3	17	5	8	5	8
gene_2618	0	0	0	4	7	8	0	1	3	0	0	0
gene_2619	0	0	0	10	14	11	2	9	10	10	3	11
gene_262	0	0	0	190	195	191	72	199	93	60	35	67
gene_2620	0	0	0	5	3	10	6	9	0	2	3	1
gene_2621	0	0	0	4	2	2	0	4	2	2	2	1
gene_2622	0	0	0	3	0	3	1	2	2	2	0	1
gene_2623	0	0	0	53	63	73	25	44	21	17	11	24
gene_2624	0	0	0	15	20	27	10	19	14	7	8	13
gene_2625	0	0	0	3	5	2	5	6	2	1	1	0
gene_2626	0	0	0	23	34	22	8	26	11	11	6	9
gene_2627	0	0	0	3	4	1	4	9	4	4	3	3
gene_2628	0	0	0	1	2	1	1	3	1	1	0	1
gene_2629	0	0	0	5	5	8	3	2	3	3	1	2
gene_263	0	0	0	1	0	1	0	0	0	0	0	0
gene_2630	0	0	0	105	129	140	41	76	54	22	20	33
gene_2631	0	0	0	7	23	28	7	24	12	7	3	12
gene_2632	0	0	0	3	4	11	6	8	4	6	10	1
gene_2633	0	0	0	6	3	5	6	5	1	3	4	10
gene_2634	0	0	0	0	0	0	0	0	0	0	0	0
gene_2635	0	0	0	42	47	60	26	48	21	23	15	24
gene_2636	0	0	0	0	0	0	0	0	0	0	0	0
gene_2637	0	0	0	0	2	0	1	2	0	0	0	0
gene_2638	0	0	0	3	3	2	2	4	2	3	0	1
gene_2639	0	0	0	30	29	39	10	19	9	11	5	10
gene_264	0	0	0	0	0	0	0	0	0	0	0	0
gene_2640	0	0	0	0	0	0	1	0	0	1	1	2
gene_2641	0	0	0	4	8	16	1	1	3	0	0	2
gene_2642	0	0	0	40	24	62	25	25	10	7	4	14
gene_2643	0	0	0	36	40	32	153	146	102	56	59	59
gene_2644	2	0	0	2	3	8	1	4	1	2	1	2
gene_2645	0	0	0	32	23	21	13	28	20	15	11	18
gene_2646	0	0	0	0	0	0	0	0	0	0	0	0
gene_2647	0	0	0	9	13	11	7	14	9	9	0	9
gene_2648	0	0	0	12	10	19	3	7	7	6	2	8
gene_2649	0	0	0	0	1	3	0	1	0	0	1	4
gene_265	0	0	0	8	4	4	2	5	4	0	1	3
gene_2650	0	0	0	4	2	1	0	0	3	0	0	2
gene_2651	0	0	0	77	53	53	29	56	26	16	22	31
gene_2652	0	0	0	87	63	15	39	44	16	17	3	19
gene_2653	0	0	0	4	6	2	2	1	2	3	1	2
gene_2654	0	0	0	167	148	149	61	170	66	34	36	44
gene_2655	0	0	0	16	11	14	9	25	12	3	7	8
gene_2656	0	0	0	102	184	164	41	81	90	29	24	41
gene_2657	0	0	0	36	22	32	17	40	21	12	17	29
