GeneID	GCUYS	GCUYT	GCUYU	GCUYW	GCUYX	GCUYY	GCUYZ	GCUZA	GCUZB	GCUYN	GCUYO
gene_8857	0	0	0	22	44	19	115	21	14	21	36
gene_8858	0	0	0	3	1	5	7	2	2	1	7
gene_8859	0	0	0	9	32	21	32	6	13	11	19
gene_886	0	0	0	12	29	63	135	39	28	25	53
gene_8860	0	0	0	24	61	12	27	12	14	18	34
gene_8861	0	0	0	64	118	48	145	50	29	53	115
gene_8862	0	0	0	16	36	44	97	19	19	22	47
gene_8863	0	0	0	81	90	75	150	31	9	41	88
gene_8864	0	0	0	5	7	6	8	2	2	3	9
gene_8865	0	0	0	6	15	5	11	4	3	1	9
gene_8866	0	0	0	0	2	2	1	0	1	0	1
gene_8867	0	0	0	67	105	82	179	40	37	44	106
gene_8868	0	0	0	42	52	27	95	16	12	18	46
gene_8869	0	0	0	44	31	21	71	14	10	26	37
gene_887	0	0	0	28	76	81	163	47	39	36	128
gene_8870	0	0	0	29	11	16	38	11	3	6	15
gene_8871	0	0	0	5	1	9	22	2	9	1	15
gene_8872	0	0	0	19	20	15	39	3	6	13	16
gene_8873	0	0	0	0	0	0	0	0	0	0	0
gene_8874	0	0	0	1	0	0	0	0	0	0	0
gene_8875	0	0	0	29	32	26	46	10	6	14	21
gene_8876	0	0	0	6	11	39	67	9	11	21	43
gene_8877	0	0	0	33	17	16	86	20	9	11	35
gene_8878	0	0	0	5	1	1	12	1	0	1	3
gene_8879	0	0	0	18	42	18	65	21	13	13	38
gene_888	0	0	0	15	16	19	21	10	10	6	12
gene_8880	0	0	0	12	20	6	8	5	6	3	9
gene_8881	0	0	0	18	27	13	42	4	6	11	34
gene_8882	0	0	0	390	177	168	674	109	58	100	370
gene_8883	0	0	0	2	9	3	9	4	4	0	4
gene_8884	0	0	0	1	0	1	5	4	0	0	1
gene_8885	0	0	0	40	87	28	73	24	10	22	40
gene_8886	0	0	0	92	69	80	325	77	21	70	178
gene_8887	0	0	0	11	18	9	29	9	1	3	13
gene_8888	0	0	0	8	12	5	13	3	4	2	13
gene_8889	0	0	0	24	16	12	40	7	2	7	21
gene_889	0	0	0	11	12	41	67	14	4	14	45
gene_8890	0	0	0	10	5	7	14	1	1	0	3
gene_8891	0	0	0	0	0	0	0	0	0	0	0
gene_8892	0	0	0	57	86	28	106	28	14	29	68
