GeneID	GGHNG	GGHNH	GGHNN	GGHNO	GGHNP	GGHNS	GGHNT	GGHNU	GGHNW	GGAZP	GGAZS	GGHNX
gene_6351	0	0	0	0	1	0	1	4	1	3	7	0
gene_6352	0	0	0	16	17	7	16	15	12	10	25	7
gene_6353	0	0	0	7	8	5	10	13	13	2	29	3
gene_6354	0	0	0	0	4	2	1	1	1	0	1	0
gene_6355	0	0	0	0	0	0	0	0	0	0	0	0
gene_6356	0	0	0	4	2	2	4	5	0	0	3	0
gene_6357	0	0	0	5	10	2	0	0	1	0	5	2
gene_6358	0	0	0	0	0	0	0	5	3	1	13	0
gene_6359	0	0	0	10	4	6	9	15	17	3	10	5
gene_636	0	0	0	54	47	46	10	25	29	10	48	31
gene_6360	0	0	0	9	7	6	8	13	5	5	13	6
gene_6361	0	0	0	14	18	8	2	17	13	7	30	8
gene_6362	0	0	0	18	13	4	3	7	10	0	19	4
gene_6363	0	0	0	0	1	0	2	1	0	1	2	0
gene_6364	0	0	0	2	0	0	0	2	1	0	4	0
gene_6365	0	0	0	0	3	8	9	1	5	2	24	3
gene_6366	0	0	0	3	3	2	7	7	13	1	12	4
gene_6367	0	0	0	1	0	1	1	3	6	1	5	0
gene_6368	0	0	0	2	3	3	2	4	11	1	7	3
gene_6369	0	0	0	8	5	4	1	3	1	1	7	4
gene_637	0	0	0	0	0	0	0	0	0	0	0	0
gene_6370	0	0	0	1	0	1	4	8	7	2	8	2
gene_6371	0	0	0	27	28	26	13	27	26	10	28	6
gene_6372	0	0	0	5	2	0	0	5	1	0	9	0
gene_6373	0	0	0	0	0	0	0	0	0	0	0	0
gene_6374	0	0	0	10	12	8	14	14	9	2	22	4
gene_6375	0	0	0	4	0	0	1	2	3	0	0	1
gene_6376	0	0	0	8	9	3	7	7	0	0	12	5
gene_6377	0	0	0	11	11	7	5	14	19	6	18	5
gene_6378	0	0	0	9	15	7	31	36	41	16	63	8
gene_6379	0	0	0	7	21	4	20	31	20	4	29	8
gene_638	0	0	0	56	23	36	39	39	48	18	83	38
gene_6380	0	0	0	11	6	7	7	9	10	0	18	2
gene_6381	0	0	0	9	8	8	4	12	10	1	11	2
gene_6382	0	0	0	7	1	3	5	4	8	0	13	1
gene_6383	0	0	0	26	14	15	15	21	17	9	35	12
gene_6384	0	0	0	0	0	0	0	1	1	1	1	0
gene_6385	0	0	0	48	45	28	26	48	30	14	75	22
gene_6386	0	0	0	107	39	27	46	68	47	18	49	8
gene_6387	0	0	0	44	43	16	16	38	26	18	56	24
gene_6388	0	0	0	34	16	7	12	31	37	9	47	12
gene_6389	0	0	0	4	3	6	2	6	3	1	10	2
gene_639	0	0	0	76	72	44	31	90	89	34	144	45
gene_6390	0	0	0	0	1	0	1	5	5	3	1	2
gene_6391	0	0	0	31	28	23	27	20	31	19	75	17
gene_6392	0	0	0	3	0	1	12	16	12	2	24	4
gene_6393	0	0	0	20	21	9	7	22	7	2	23	6
gene_6394	0	0	0	190	155	108	598	943	900	248	1212	223
gene_6395	0	0	0	0	0	0	0	0	0	0	0	0
gene_6396	0	0	0	0	0	0	0	0	0	0	0	0
gene_6397	0	0	0	3	1	1	5	8	9	0	21	6
gene_6398	0	0	0	10	3	5	21	30	23	8	21	16
gene_6399	0	0	0	0	0	0	0	0	0	0	0	0
gene_64	0	0	0	142	133	52	85	142	134	51	180	33
gene_640	0	0	0	4	3	5	0	0	4	0	3	1
gene_6400	0	0	0	0	0	0	0	0	0	0	0	0
gene_6401	0	0	0	14	9	7	8	31	28	1	17	2
gene_6402	0	0	0	21	17	12	12	20	20	3	35	7
gene_6403	0	0	0	7	12	7	2	4	5	1	6	0
gene_6404	0	0	0	2	1	0	0	6	3	3	9	1
