GeneID	GCUXS	GCUXT	GCUXU	GCUXW	GCUXX	GCUXY	GCUXZ	GCUYA	GCUYB	GCUYC	GCUYG	GCUYH
gene_3296	0	0	0	0	0	0	0	0	0	0	0	0
gene_3297	0	0	0	20	8	13	12	4	11	0	1	9
gene_3298	0	0	0	2	0	1	1	0	0	0	1	0
gene_3299	0	0	0	1	1	0	3	0	3	0	0	3
gene_33	0	0	0	0	0	0	0	0	0	0	0	0
gene_330	0	0	0	9	3	7	6	4	9	3	0	9
gene_3300	0	0	0	88	70	90	77	57	58	29	8	32
gene_3301	0	0	0	0	0	0	0	0	0	0	0	0
gene_3302	0	0	0	31	21	62	19	7	5	7	1	12
gene_3303	0	0	0	5	4	17	8	4	6	8	0	14
gene_3304	0	0	0	0	0	0	0	0	0	0	0	0
gene_3305	0	0	0	80	32	48	54	33	31	27	4	28
gene_3306	0	0	0	5	0	4	3	3	2	0	1	4
gene_3307	0	0	0	68	38	49	261	31	27	20	2	22
gene_3308	0	0	0	18	9	23	18	8	11	10	1	11
gene_3309	0	0	0	54	35	68	27	30	20	20	9	19
gene_331	0	0	0	5	6	6	11	9	8	5	4	3
gene_3310	0	0	0	0	2	1	1	2	2	0	0	1
gene_3311	0	0	0	2	3	1	2	4	3	3	1	2
gene_3312	0	0	0	6	2	7	4	3	3	2	1	11
gene_3313	0	0	0	0	0	1	1	0	0	0	0	1
gene_3314	0	0	0	11	7	8	29	12	29	1	1	11
gene_3315	0	0	0	8	8	14	4	6	10	3	2	4
gene_3316	0	0	0	23	59	147	9	2	1	0	1	2
gene_3317	0	0	0	6	4	8	8	3	5	3	0	11
gene_3318	0	0	0	2	2	4	4	5	5	1	2	4
gene_3319	0	0	0	4	11	18	9	2	2	5	1	1
gene_332	0	0	0	20	10	18	15	8	10	5	2	8
gene_3320	0	0	0	1	1	0	10	3	2	0	0	2
gene_3321	0	0	0	52	27	72	32	21	13	6	3	18
gene_3322	0	0	0	468	243	343	338	179	179	119	47	155
gene_3323	0	0	0	4	3	1	3	0	0	3	1	1
gene_3324	0	0	0	19	9	16	23	7	4	3	1	3
gene_3325	0	0	0	0	0	0	0	0	0	0	0	0
gene_3326	0	0	0	5	2	4	15	4	3	2	0	1
gene_3327	0	0	0	3	1	2	5	1	4	4	0	0
gene_3328	0	0	0	1	2	4	2	0	0	0	0	1
gene_3329	0	0	0	0	0	0	0	0	0	0	0	0
gene_333	0	0	0	0	0	0	0	0	0	0	0	0
gene_3330	0	0	0	0	0	0	0	0	0	0	0	0
gene_3331	0	0	0	128	85	165	85	65	93	43	25	100
gene_3332	0	0	0	86	47	73	54	23	27	18	9	10
gene_3333	0	0	0	22	21	17	93	35	23	30	18	28
gene_3334	0	0	0	0	0	0	0	0	0	0	0	0
gene_3335	0	0	0	99	52	101	85	37	54	24	17	52
gene_3336	0	0	0	86	80	81	226	151	129	69	43	153
gene_3337	0	0	0	13	9	11	18	14	9	6	6	12
gene_3338	0	0	0	128	83	213	111	80	54	62	44	59
gene_3339	0	0	0	4	3	5	2	2	9	2	0	2
gene_334	0	0	0	18	14	12	11	9	11	6	0	13
gene_3340	0	0	0	2	1	6	31	8	10	17	3	9
gene_3341	0	0	0	0	0	0	0	0	0	0	0	0
gene_3342	0	0	0	6	5	12	19	10	8	7	3	8
gene_3343	0	0	0	2	4	4	15	5	5	6	5	16
gene_3344	0	0	0	93	51	102	57	20	24	17	4	27
gene_3345	0	0	0	0	0	0	0	0	0	0	0	0
gene_3346	0	0	0	37	28	31	35	15	11	6	4	17
gene_3347	0	0	0	0	0	0	0	0	0	0	0	0
gene_3348	0	0	0	74	44	50	71	30	39	19	9	50
gene_3349	0	0	0	23	14	22	25	5	13	6	1	3
gene_335	0	0	0	0	0	0	0	0	0	0	0	0
gene_3350	0	0	0	6	0	1	3	5	3	0	1	4
gene_3351	0	0	0	7	16	20	15	6	7	4	1	9
gene_3352	0	0	0	0	0	0	0	1	0	0	0	1
gene_3353	0	0	0	0	0	0	0	1	0	0	0	0
gene_3354	0	0	0	0	0	0	0	0	0	0	0	0
gene_3355	0	0	0	13	10	6	8	4	14	1	3	15
gene_3356	0	0	0	5	4	2	5	4	1	0	0	3
gene_3357	0	0	0	31	15	24	24	17	10	4	0	8
gene_3358	0	0	0	11	3	1	8	5	2	3	1	7
gene_3359	0	0	0	28	45	54	32	12	13	11	1	7
gene_336	0	0	0	143	63	76	78	47	54	31	16	57
gene_3360	0	0	0	18	15	26	51	41	26	51	17	39
gene_3361	0	0	0	87	52	140	158	118	89	118	37	143
gene_3362	0	0	0	90	39	92	45	30	39	29	15	59
