GeneID	GGABG	GGABH	GGABN	GGABO	GGABP	GGABS	GGABT	GGABU	GGABW	GGABX
gene_1153	0	0	0	2	0	1	0	8	1	5
gene_1154	0	0	0	3	1	3	0	8	2	0
gene_1155	0	0	0	39	1	2	0	22	0	8
gene_1156	0	0	0	0	0	0	0	0	0	0
gene_1157	0	0	0	359	7	26	26	67	20	32
gene_1158	0	0	0	10	0	1	7	15	7	12
gene_1159	0	0	0	23	2	6	5	42	16	25
gene_116	0	0	0	0	0	0	0	0	0	0
gene_1160	0	0	0	51	4	17	18	49	17	34
gene_1161	0	0	0	32	1	0	3	7	4	1
gene_1162	0	0	0	10	0	0	1	6	0	4
gene_1163	0	0	0	16	0	3	1	15	4	6
gene_1164	0	0	0	26	0	9	2	6	0	4
gene_1165	0	0	0	502	44	263	203	1575	405	991
gene_1166	0	0	0	5	0	0	1	0	0	1
gene_1167	0	0	0	14	0	0	2	9	4	2
gene_1168	0	0	0	2	0	0	3	7	2	7
gene_1169	0	0	0	22	3	4	1	36	2	7
gene_117	0	0	0	5	1	4	1	56	5	43
gene_1170	0	0	0	5	0	1	1	12	3	4
gene_1171	0	0	0	5	0	0	0	2	3	5
gene_1172	0	0	0	3	0	0	0	9	4	1
gene_1173	0	0	0	1	0	1	0	3	1	2
gene_1174	0	0	0	30	0	3	5	21	7	14
gene_1175	0	0	0	6	1	0	0	1	3	1
gene_1176	0	0	0	0	0	0	0	49	1	2
gene_1177	0	0	0	27	2	0	0	33	2	15
gene_1178	0	0	0	20	2	4	6	32	1	10
gene_1179	0	0	0	0	0	4	0	2	1	1
gene_118	0	0	0	1	0	0	1	0	1	1
gene_1180	0	0	0	15	0	0	6	18	4	6
gene_1181	0	0	0	39	0	10	9	60	7	15
gene_1182	0	0	0	12	1	0	1	2	1	3
gene_1183	0	0	0	15	0	5	4	25	9	2
gene_1184	0	0	0	11	6	6	1	14	9	12
gene_1185	0	0	0	6	2	3	9	48	8	12
gene_1186	0	0	0	4	0	0	0	4	1	6
gene_1187	0	0	0	5	1	6	7	111	18	85
gene_1188	0	0	0	9	0	2	2	5	2	9
gene_1189	0	0	0	26	2	0	3	26	9	23
gene_119	0	0	0	11	0	6	0	13	5	5
gene_1190	0	0	0	9	5	1	1	15	1	13
gene_1191	0	0	0	4	1	2	0	18	4	8
gene_1192	0	0	0	0	0	0	0	0	0	0
gene_1193	0	0	0	7	0	0	0	4	2	3
gene_1194	0	0	0	11	0	6	2	26	6	15
gene_1195	0	0	0	1	0	0	0	0	0	0
gene_1196	0	0	0	16	1	3	0	13	2	7
gene_1197	0	0	0	58	6	11	12	69	20	34
gene_1198	0	0	0	26	1	18	5	42	20	38
gene_1199	0	0	0	0	0	0	0	0	0	0
gene_12	0	0	0	10	2	0	6	15	11	18
gene_120	0	0	0	6	0	0	0	2	1	2
gene_1200	0	0	0	0	0	0	0	0	0	0
gene_1201	0	0	0	5	2	2	0	0	0	2
