GeneID	GCYPW	GCYPX	GCYPZ	GCYSA	GCYSB	GCYSC	GCYSG	GCYSH	GCYSN	GCYSO	GCYSP	GCYSS
gene_10028	0	0	0	10	15	3	6	8	19	14	26	16
gene_10029	0	0	0	11	8	10	5	12	23	17	25	10
gene_1003	0	0	0	6	3	3	2	1	8	4	3	2
gene_10030	0	0	0	5	7	0	0	1	2	0	1	0
gene_10031	0	0	0	0	0	0	0	0	0	0	0	0
gene_10032	0	0	0	2	5	2	1	0	3	0	4	4
gene_10033	0	0	0	0	0	0	0	0	0	0	0	0
gene_10034	0	0	0	0	1	1	0	0	0	0	0	1
gene_10035	0	0	0	1	1	0	0	2	3	2	0	0
gene_10036	0	0	0	63	116	35	25	39	60	24	53	34
gene_10037	0	0	0	8	15	1	1	4	11	5	1	1
gene_10038	0	0	0	20	32	14	2	13	23	15	17	19
gene_10039	0	0	0	25	53	31	13	34	51	26	26	37
gene_1004	0	0	0	9	25	11	11	21	41	22	31	15
gene_10040	0	0	0	1	6	1	0	1	1	1	0	1
gene_10041	0	0	0	0	1	0	0	0	1	2	4	1
gene_10042	0	0	0	0	0	0	0	0	2	0	0	0
gene_10043	0	0	0	0	0	0	0	0	0	0	0	0
gene_10044	0	0	0	0	0	0	0	3	1	0	0	2
gene_10045	1	0	0	140	185	82	52	112	183	142	194	182
gene_10046	0	0	0	7	10	6	0	4	4	6	15	6
gene_10047	0	0	0	0	0	1	0	0	0	0	0	0
gene_10048	0	0	0	29	50	10	7	7	11	6	24	16
gene_10049	0	0	0	0	1	0	0	0	2	0	0	0
gene_1005	0	0	0	17	29	7	7	7	15	9	19	10
gene_10050	0	0	0	54	82	27	160	295	323	172	450	182
gene_10051	0	0	0	1	0	0	0	0	0	1	0	0
gene_10052	0	0	0	8	8	3	7	9	10	23	18	11
gene_10053	0	0	0	2	13	0	3	3	5	2	7	5
gene_10054	0	0	0	0	0	0	0	0	0	0	0	0
gene_10055	0	0	0	0	0	0	0	1	0	0	0	0
gene_10056	0	0	0	3	6	1	3	11	9	8	23	16
gene_10057	0	0	0	20	22	10	10	15	28	14	36	14
gene_10058	0	0	0	16	22	3	5	7	17	3	7	6
gene_10059	0	0	0	0	1	0	0	0	0	0	0	0
gene_1006	0	0	0	20	27	9	5	13	25	17	13	15
gene_10060	0	0	0	17	31	19	11	19	21	17	15	17
gene_10061	0	0	0	3	7	3	0	13	15	3	7	5
gene_10062	0	0	0	90	162	49	33	47	76	31	60	47
gene_10063	0	0	0	0	1	0	0	0	0	0	0	1
gene_10064	0	0	0	1	2	1	0	0	1	3	11	1
gene_10065	1	0	0	81	126	49	34	56	102	87	81	59
gene_10066	0	0	0	1	2	0	0	1	4	1	2	0
gene_10067	0	0	0	0	0	1	0	0	0	1	0	0
gene_10068	0	0	0	23	29	12	9	20	27	29	30	23
gene_10069	0	0	0	3	7	2	0	8	14	3	8	6
gene_1007	0	0	0	7	20	6	6	5	10	6	13	7
gene_10070	0	0	0	1	4	0	1	0	2	0	0	0
gene_10071	0	0	0	3	18	1	3	5	7	5	6	10
gene_10072	0	0	0	55	109	30	27	34	61	39	50	31
gene_10073	0	0	0	0	7	2	1	0	1	1	1	2
gene_10074	0	0	0	0	0	0	0	0	0	0	0	0
gene_10075	0	0	0	74	117	62	26	83	109	56	92	78
gene_10076	0	0	0	83	142	71	26	74	109	51	66	50
gene_10077	0	0	0	20	27	7	7	13	9	6	29	15
gene_10078	0	0	0	17	11	5	2	6	8	6	7	5
gene_10079	0	0	0	7	8	7	4	5	9	5	6	8
gene_1008	0	0	0	0	0	0	0	0	0	0	0	1
gene_10080	0	0	0	0	0	0	2	0	2	0	0	0
gene_10081	0	0	0	2	5	3	3	3	1	3	6	6
gene_10082	0	0	0	10	7	7	2	62	65	43	61	16
gene_10083	0	0	0	38	97	27	31	32	50	36	76	35
gene_10084	0	0	0	0	0	0	0	0	0	0	0	0
gene_10085	0	0	0	1	2	0	0	1	3	0	1	0
gene_10086	0	0	0	0	0	0	0	0	0	0	0	0
gene_10087	0	0	0	0	0	0	0	0	0	0	0	0
gene_10088	0	0	0	0	0	0	0	0	0	0	0	0
gene_10089	0	0	0	0	1	1	0	1	0	0	0	0
gene_1009	0	0	0	0	0	0	1	0	0	0	0	0
gene_10090	0	0	0	17	30	8	11	30	44	24	31	20
gene_10091	0	0	0	108	251	68	44	91	205	70	115	93
gene_10092	0	0	0	11	13	9	2	7	14	4	16	2
gene_10093	0	0	0	19	37	11	15	41	67	34	46	36
gene_10094	0	0	0	28	66	20	11	13	26	8	13	7
gene_10095	0	0	0	15	31	8	4	3	13	3	6	9
gene_10096	0	0	0	7	17	5	1	4	5	3	7	1
gene_10097	0	0	0	3	15	2	2	2	8	2	2	5
gene_10098	0	0	0	0	0	0	0	0	0	0	0	0
gene_10099	0	0	0	0	0	0	0	0	0	0	1	0
gene_101	0	0	0	3	3	2	4	2	3	5	5	2
gene_1010	0	0	0	28	81	17	3	28	57	18	44	21
gene_10100	0	0	0	2	5	3	3	3	5	1	0	1
